Series_Title,Overview,Cleaned_Overview,Sentiment,Predicted_Sentiment
The Broken Circle Breakdown,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial.",elise didier fall love first sight spite difference talk listens he romantic atheist shes religious realist daughter becomes seriously ill love put trial,positive,2
Captain America: The Winter Soldier,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",steve rogers struggle embrace role modern world team fellow avenger shield agent black widow battle new threat history assassin known winter soldier,positive,0
Rockstar,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",janardhan jakhar chase dream becoming big rock star fall love heer,positive,2
Nebraska,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.",aging boozeaddled father make trip montana nebraska estranged son order claim milliondollar mega sweepstakes marketing prize,neutral,1
Wreck-It Ralph,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",video game villain want hero set fulfill dream quest brings havoc whole arcade life,negative,2
Le Petit Prince,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",little girl life grownup world mother try prepare neighbor aviator introduces girl extraordinary world anything possible world little prince,negative,0
Detachment,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,substitute teacher drift classroom classroom find connection student teacher latest assignment,positive,2
Midnight in Paris,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",trip paris fiancées family nostalgic screenwriter find mysteriously going back every day midnight,negative,0
The Lego Movie,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",ordinary lego construction worker thought prophesied special recruited join quest stop evil tyrant gluing lego universe eternal stasis,negative,0
Gravity,Two astronauts work together to survive after an accident leaves them stranded in space.,two astronaut work together survive accident leaf stranded space,neutral,2
Star Trek Into Darkness,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",crew enterprise find unstoppable force terror within organization captain kirk lead manhunt warzone world capture oneman weapon mass destruction,neutral,1
Beasts of No Nation,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",drama based experience agu child soldier fighting civil war unnamed african country,neutral,1
The Social Network,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",harvard student mark zuckerberg creates social networking site would become known facebook sued twin claimed stole idea cofounder later squeezed business,positive,2
X: First Class,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",superpowered human charles xavier erik lensherr work together find others like eriks vengeful pursuit ambitious mutant ruined life cause schism divide,positive,0
The Hangover,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",three buddy wake bachelor party la vega memory previous night bachelor missing make way around city order find friend wedding,negative,0
Skyfall,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",james bond loyalty tested past come back haunt mi come attack must track destroy threat matter personal cost,negative,0
Silver Linings Playbook,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",stint mental institution former teacher pat solitano move back parent try reconcile exwife thing get challenging pat meet tiffany mysterious girl problem,positive,2
Argo,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",acting cover hollywood producer scouting location science fiction film cia agent launch dangerous operation rescue six american tehran u hostage crisis iran,negative,0
(500) Days of Summer,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",offbeat romantic comedy woman doesnt believe true love exists young man fall,positive,2
Harry Potter and the Deathly Hallows: Part 1,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",harry ron hermione race time evil destroy horcruxes uncover existence three powerful object wizarding world deathly hallows,negative,0
Gake no ue no Ponyo,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",fiveyearold boy develops relationship ponyo young goldfish princess longs become human falling love,positive,2
Frost/Nixon,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,dramatic retelling postwatergate television interview british talkshow host david frost former president richard nixon,negative,0
Papurika,"When a machine that allows therapists to enter their patients' dreams is stolen, all Hell breaks loose. Only a young female therapist, Paprika, can stop it.",machine allows therapist enter patient dream stolen hell break loose young female therapist paprika stop,positive,2
Changeling,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,griefstricken mother christine collins angelina jolie take lapd detriment try pas obvious impostor missing child,negative,0
Flipped,Two eighth-graders start to have feelings for each other despite being total opposites.,two eighthgraders start feeling despite total opposite,neutral,1
Toki o kakeru shôjo,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.",highschool girl named makoto acquires power travel back time decides use personal benefit little know affecting life others much,positive,0
Death Note: Desu nôto,"A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals.",battle world two greatest mind begin light yagami find death note notebook power kill decides rid world criminal,positive,2
This Is England,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",young boy becomes friend gang skinhead friend soon become like family relationship pushed limit,positive,2
Ex Machina,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,young programmer selected participate groundbreaking experiment synthetic intelligence evaluating human quality highly advanced humanoid ai,positive,2
Efter brylluppet,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",manager orphanage india sent copenhagen denmark discovers lifealtering family secret,negative,0
The Last King of Scotland,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,based event brutal ugandan dictator idi amins regime seen personal physician,negative,0
Zodiac,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",late searly san francisco cartoonist becomes amateur detective obsessed tracking zodiac killer unidentified individual terrorizes northern california killing spree,negative,0
Lucky Number Slevin,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",case mistaken identity land slevin middle war plotted two city rival crime boss constant surveillance detective brikowski assassin goodkat must get get,neutral,1
Joyeux Noël,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",december unofficial christmas truce western front allows soldier opposing side first world war gain insight others way life,positive,2
Control,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.",profile ian curtis enigmatic singer joy division whose personal professional romantic trouble led commit suicide age,positive,2
Tangled,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",magically longhaired rapunzel spent entire life tower runaway thief stumbled upon discover world first time really,positive,2
Zwartboek,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",nazioccupied netherlands world war ii jewish singer infiltrates regional gestapo headquarters dutch resistance,neutral,1
Brokeback Mountain,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",story forbidden secretive relationship two cowboy life year,neutral,1
3:10 to Yuma,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,smalltime rancher agrees hold captured outlaw who awaiting train go court yuma battle will ensues outlaw try psych rancher,neutral,0
Crash,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",los angeles citizen vastly separate life collide interweaving story race loss redemption,neutral,1
Kung fu,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",shanghai china wannabe gangster aspires join notorious axe gang resident housing complex exhibit extraordinary power defending turf,positive,2
The Bourne Supremacy,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",jason bourne framed cia operation gone awry forced resume former life trained assassin survive,negative,0
The Machinist,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,industrial worker hasnt slept year begin doubt sanity,neutral,1
Ray,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",story life career legendary rhythm blue musician ray charles humble beginning south went blind age seven meteoric rise stardom,positive,2
Lost in Translation,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,faded movie star neglected young woman form unlikely bond crossing path tokyo,negative,0
Harry Potter and the Goblet of Fire,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",harry potter find competing hazardous tournament rival school magic distracted recurring nightmare,positive,2
Man on Fire,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",mexico city former cia operative swears vengeance committed unspeakable act family hired protect,neutral,0
Coraline,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",adventurous yearold girl find another world strangely idealized version frustrating home sinister secret,negative,2
The Last Samurai,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,american military advisor embrace samurai culture hired destroy captured battle,negative,0
The Magdalene Sisters,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.,three young irish woman struggle maintain spirit endure dehumanizing abuse inmate magdalene sister asylum,positive,2
Good Bye Lenin!,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",protect fragile mother fatal shock long coma young man must keep learning beloved nation east germany knew disappeared,positive,2
In America,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.,family irish immigrant adjust life mean street hell kitchen also grieving death child,negative,1
I Am Sam,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,mentally handicapped man fight custody yearold daughter process teach coldhearted lawyer value love family,positive,2
Adaptation.,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,lovelorn screenwriter becomes desperate try fails adapt orchid thief susan orlean screen,negative,0
Black Hawk Down,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,elite u soldier drop somalia capture two top lieutenant renegade warlord find desperate battle large force heavilyarmed somali,positive,0
Road to Perdition,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",mob enforcer son witness murder forcing father take road father path redemption revenge,neutral,1
Das Experiment,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.",two week male participant hired play prisoner guard prison prisoner follow seemingly mild rule guard told retain order without using physical violence,positive,2
Billy Elliot,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,talented young boy becomes torn unexpected love dance disintegration family,positive,2
Hedwig and the Angry Inch,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,genderqueer punkrock singer east berlin tour u band tell life story follows former loverbandmate stole song,neutral,1
Ocean's Eleven,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,danny ocean ten accomplice plan rob three la vega casino simultaneously,neutral,1
Vampire Hunter D: Bloodlust,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.",girl abducted vampire legendary bounty hunter hired bring back,positive,2
"O Brother, Where Art Thou?","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",deep south three escaped convict search hidden treasure relentless lawman pursues,negative,0
Interstate 60: Episodes of the Road,"Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl.",neal oliver confused young man artist take journey lifetime highway doesnt exist map going place never even heard searching answer dreamgirl,negative,0
"South Park: Bigger, Longer & Uncut","When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",stan marsh friend go see rrated movie start cursing parent think canada blame,neutral,2
Office Space,Three company workers who hate their jobs decide to rebel against their greedy boss.,three company worker hate job decide rebel greedy bos,negative,1
Happiness,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",life several individual intertwine go life unique way engaging act society whole might find disturbing desperate search human connection,negative,0
Training Day,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,rookie cop spends first day los angeles narcotic officer rogue detective isnt appears,positive,2
Rushmore,The extracurricular king of Rushmore Preparatory School is put on academic probation.,extracurricular king rushmore preparatory school put academic probation,neutral,1
Abre los ojos,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",handsome man find love life suffers accident need face rebuilt surgery severely disfigured,positive,2
Being John Malkovich,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,puppeteer discovers portal lead literally head movie star john malkovich,neutral,1
As Good as It Gets,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",single mother waitress misanthropic author gay artist form unlikely friendship artist assaulted robbery,negative,0
The Fifth Element,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",colorful future cab driver unwittingly becomes central figure search legendary cosmic weapon keep evil mr zorg bay,positive,2
Le dîner de cons,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.",friend weekly fool dinner brings fool along pierre find champion fool next dinner surprise,neutral,1
Donnie Brasco,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",fbi undercover agent infiltrates mob find identifying mafia life expense regular one,neutral,1
Shine,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.",pianist david helfgott driven father teacher breakdown year later return piano popular critical acclaim,positive,2
Primal Fear,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep.",altar boy accused murdering priest truth buried several layer deep,neutral,1
Hamlet,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",hamlet prince denmark return home find father murdered mother remarrying murderer uncle meanwhile war brewing,neutral,1
A Little Princess,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,young girl relegated servitude boarding school father go missing presumed dead,negative,0
Do lok tin si,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.",hong kongset crime drama follows life hitman hoping get business elusive female partner,neutral,1
Il postino,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",simple italian postman learns love poetry delivering mail famous poet us woo local beauty beatrice,positive,2
Clerks,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",day life two convenience clerk named dante randal annoy customer discus movie play hockey store roof,neutral,0
Short Cuts,The day-to-day lives of several suburban Los Angeles residents.,daytoday life several suburban los angeles resident,neutral,1
Philadelphia,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",man hiv fired law firm condition hire homophobic small time lawyer willing advocate wrongful dismissal suit,negative,0
The Muppet Christmas Carol,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,muppet character tell version classic tale old bitter miser redemption christmas eve,positive,2
Malcolm X,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",biographical epic controversial influential black nationalist leader early life career smalltime gangster ministry member nation islam,positive,2
The Last of the Mohicans,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,three trapper protect daughter british colonel midst french indian war,neutral,1
Kurenai no buta,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.",italy veteran world war pilot cursed look like anthropomorphic pig,neutral,0
Glengarry Glen Ross,An examination of the machinations behind the scenes at a real estate office.,examination machination behind scene real estate office,negative,0
A Few Good Men,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,military lawyer lieutenant daniel kaffee defends marine accused murder contend acting order,negative,0
Fried Green Tomatoes,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,housewife unhappy life befriends old lady nursing home enthralled tale tell people used know,negative,0
Barton Fink,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,renowned new york playwright enticed california write movie discovers hellish truth hollywood,positive,2
Miller's Crossing,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",tom reagan advisor prohibitionera crime bos try keep peace warring mob get caught divided loyalty,neutral,1
Who Framed Roger Rabbit,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,toonhating detective cartoon rabbit hope prove innocence accused murder,neutral,1
Spoorloos,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",rex saskia young couple love vacation stop busy service station saskia abducted three year sign saskia rex begin receiving letter abductor,positive,2
Withnail & I,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",two substanceabusing unemployed actor retreat countryside holiday prof disastrous,negative,0
The Last Emperor,The story of the final Emperor of China.,story final emperor china,neutral,1
Empire of the Sun,A young English boy struggles to survive under Japanese occupation during World War II.,young english boy struggle survive japanese occupation world war ii,positive,2
Der Name der Rose,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,intellectually nonconformist friar investigates series mysterious death isolated abbey,positive,2
Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",discovery severed human ear found field lead young man investigation related beautiful mysterious nightclub singer group psychopathic criminal kidnapped child,positive,2
The Purple Rose of Cairo,"In New Jersey in 1935, a movie character walks off the screen and into the real world.",new jersey movie character walk screen real world,positive,2
After Hours,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,ordinary word processor worst night life agrees visit girl soho met evening coffee shop,negative,0
Zelig,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people.",documentary man look act like whoever he around meet various famous people,positive,2
The Verdict,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,lawyer see chance salvage career selfrespect taking medical malpractice case trial rather settling,neutral,1
Star Trek II: The Wrath of Khan,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",assistance enterprise crew admiral kirk must stop old nemesis khan noonien singh using lifegenerating genesis device ultimate weapon,positive,2
First Blood,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,veteran green beret forced cruel sheriff deputy flee mountain wage escalating oneman war pursuer,negative,0
Ordinary People,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",accidental death older son affluent family deeply strain relationship among bitter mother goodnatured father guiltridden younger son,positive,2
Airplane!,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,man afraid fly must ensure plane land safely pilot become sick,negative,0
Rupan sansei: Kariosutoro no shiro,"A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to.",dashing thief gang desperado intrepid policeman struggle free princess evil count clutch learn hidden secret fabulous treasure hold part key,negative,0
Halloween,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",fifteen year murdering sister halloween night michael myers escape mental hospital return small town haddonfield illinois kill,negative,0
Le locataire,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.,bureaucrat rent paris apartment find drawn rabbit hole dangerous paranoia,negative,0
Love and Death,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",czarist russia neurotic soldier distant cousin formulate plot assassinate napoleon,negative,1
The Taking of Pelham One Two Three,"In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?",new york armed men hijack subway car demand ransom passenger even paid could get away,positive,2
Blazing Saddles,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",order ruin western town corrupt politician appoints black sheriff promptly becomes formidable adversary,negative,0
Serpico,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,honest new york cop named frank serpico blow whistle rampant corruption force comrade turn,positive,0
Enter the Dragon,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,secret agent come opium lord island fortress fighter martialarts tournament,negative,0
Deliverance,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",intent seeing cahulawassee river dammed turned lake outdoor fanatic lewis medlock take friend canoeing trip theyll never forget dangerous american backcountry,negative,0
The French Connection,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,pair nyc cop narcotic bureau stumble onto drug smuggling job french connection,negative,0
Dirty Harry,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",madman calling scorpio killer menace city toughasnails san francisco police inspector dirty harry callahan assigned track ferret crazed psychopath,negative,0
Where Eagles Dare,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",allied agent stage daring raid castle nazi holding american brigadier general george carnaby prisoner thats thats really going,positive,2
The Odd Couple,"Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",two friend try sharing apartment idea housekeeping lifestyle different night day,neutral,0
The Dirty Dozen,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",world war ii rebellious u army major assigned dozen convicted murderer train lead mass assassination mission german officer,positive,2
Belle de jour,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,frigid young housewife decides spend midweek afternoon prostitute,negative,2
A Man for All Seasons,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",story sir thomas stood king henry viii king rejected roman catholic church obtain divorce remarry,neutral,1
Repulsion,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,sexrepulsed woman disapproves sister boyfriend sink depression horrific vision rape violence,negative,2
Zulu,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,outnumbered british soldier battle zulu warrior rorkes drift,neutral,1
Goldfinger,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",investigating gold magnate smuggling james bond uncovers plot contaminate fort knox gold reserve,neutral,1
The Birds,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,wealthy san francisco socialite pursues potential boyfriend small northern california town slowly take turn bizarre bird kind suddenly begin attack people,positive,0
Cape Fear,A lawyer's family is stalked by a man he once helped put in jail.,lawyer family stalked man helped put jail,negative,0
Peeping Tom,"A young man murders women, using a movie camera to film their dying expressions of terror.",young man murder woman using movie camera film dying expression terror,positive,2
The Magnificent Seven,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,seven gunfighters hired mexican peasant liberate village oppressive bandit,neutral,0
Les yeux sans visage,"A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face.",surgeon cause accident leaf daughter disfigured go extreme give new face,positive,2
Invasion of the Body Snatchers,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,smalltown doctor learns population community replaced emotionless alien duplicate,negative,0
Rebel Without a Cause,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",rebellious young man troubled past come new town finding friend enemy,negative,0
The Ladykillers,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,five oddball criminal planning bank robbery rent room culdesac octogenarian widow pretext classical musician,negative,0
Sabrina,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",playboy becomes interested daughter family chauffeur serious brother would better man,positive,2
The Quiet Man,"A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",retired american boxer return village birth ireland fall spirited redhead whose brother contemptuous union,positive,2
The Day the Earth Stood Still,An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.,alien land tell people earth must live peacefully destroyed danger planet,positive,0
The African Queen,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",wwi africa ginswilling riverboat captain persuaded straitlaced missionary use boat attack enemy warship,neutral,1
Gilda,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,smalltime gambler hired work buenos aire casino discovers employer new wife former lover,positive,2
Fantasia,A collection of animated interpretations of great works of Western classical music.,collection animated interpretation great work western classical music,positive,2
The Invisible Man,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",scientist find way becoming invisible becomes murderously insane,negative,0
Dark Waters,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,corporate defense attorney take environmental lawsuit chemical company expose lengthy history pollution,neutral,1
Searching,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",teenage daughter go missing desperate father try find clue laptop,negative,0
Once Upon a Time... in Hollywood,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,faded television actor stunt double strive achieve fame success final year hollywood golden age los angeles,positive,0
Nelyubov,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,couple going divorce must team find son disappeared one bitter argument,negative,0
The Florida Project,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",set one summer film follows precocious sixyearold moonee court mischief adventure ragtag playmate bond rebellious caring mother living shadow walt disney world,neutral,1
Just Mercy,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,worldrenowned civil right defense attorney bryan stevenson work free wrongly condemned death row prisoner,positive,2
